id,employee_id,position,url,obs,type
1,1,Alcaldía-Presidencia,https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,Los puestos políticos no se detallan en la RPT,Político
103,103,"Teniente alcaldesa. Área de gobierno de inclusión social, familias, igualdad y diversidad, medio rural, participación ciudadana y juventud.",https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,Político
104,104,Teniente Alcaldesa. Área de Gobierno de turismo .y cultura,https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,Político
105,105,"Teniente Alcaldesa. Área de gobierno de empleo, economía, patrimonio, seguridad, recursos humanos y simplificación administrativa y transparencia.",https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,Político
202,202,"Delegada. Delegación de urbanismo, ordenación del territorio y vivienda",https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,Político
204,204,"Delegado. Delegación de desarrollo educativo, formación profesional, universidades y deportes",https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,Político
206,206,Delegada. Delegación participación ciudadana y juventud.,https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,Político
207,207,Delegada. Delegación participación ciudadana y juventud.,https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,Político
209,209,"Delegado. Delegación de cultura, fiestas, patrimonio histórico y capitalidad cultural.",https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,Político
211,211,"Delegado. Delegación economía, hacienda y patrimonio.",https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,Político
212,212,"Delegada. Delegación economía, hacienda y patrimonio.",https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,Político
2121,2121,Presidenta Diputación de Cádiz,https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,Político
101,101,"Primer teniente alcaldesa.
Área gobierno de presidencia, centro histórico, fondos europeos, coordinación de gobierno y ordenación del territorio.",https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,Político
102,102,"Teniente alcaldesa.Área de gobierno de coordinación de servicios públicos, desarrollo sostenible, medio ambiente, protección animal, educación y deportes.",https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,Político
205,205,"Delegación medio rural, igualdad y diversidad.",https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,Político
210,210,"Delegación de seguridad, recursos humanos, transformación digital, simplificación administrativa y transparencia.",https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,"Político
"
208,208,Delegación turismo y promoción de la ciudad.,https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,Político
203,203,"Delegación de servicios públicos, medio ambiente y protección animal.",https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,Político
201,201,"Delegación de presidencia, centro histórico, fondos europeos y coordinación de gobierno.",https://transparencia.jerez.es/fileadmin/Documentos/Transparencia/a-infopublica/a02-organizativa/c-personal/rpt/RPT__ALCALDIA-PRESIDENCIA_diciembre2022.pdf,,Político